BLOCK ram          0x01100000..0x011a863f  total=689728  code=435792 (63.18%)  data=172545 (25.02%)  undef=81391 (11.80%)

TOTAL total=689728  code=435792 (63.18%)  data=172545 (25.02%)  undef=81391 (11.80%)
FUNCTIONS 1686

UNDEFINED RUNS: 3448 (largest first)
  0x01193908  len=8
  0x01193918  len=8
  0x01193928  len=8
  0x01193938  len=8
  0x01193948  len=8
  0x01193958  len=8
  0x01193968  len=8
  0x01193978  len=8
  0x01193988  len=8
  0x01193998  len=8
  0x011939a8  len=8
  0x011939b8  len=8
  0x011939c8  len=8
  0x011939d8  len=8
  0x011939e8  len=8
  0x011939f8  len=8
  0x01193a08  len=8
  0x01193a18  len=8
  0x01193a28  len=8
  0x01193a38  len=8
  0x01193a48  len=8
  0x01193a98  len=8
  0x01193aa8  len=8
  0x01193ab8  len=8
  0x01193ac8  len=8
  0x01193ad8  len=8
  0x01193ae8  len=8
  0x01193af8  len=8
  0x01193b08  len=8
  0x01193b18  len=8
  0x01193b28  len=8
  0x01193b38  len=8
  0x01193b48  len=8
  0x01193b58  len=8
  0x01193b68  len=8
  0x01193b78  len=8
  0x01193b88  len=8
  0x01193b98  len=8
  0x01193ba8  len=8
  0x01193bb8  len=8
  0x01193bc8  len=8
  0x01193c08  len=8
  0x01193c18  len=8
  0x01193c28  len=8
  0x01193c38  len=8
  0x011942a8  len=8
  0x011942f8  len=8
  0x01194318  len=8
  0x01194328  len=8
  0x01194338  len=8
  0x01194348  len=8
  0x01194358  len=8
  0x01194368  len=8
  0x01194378  len=8
  0x01194388  len=8
  0x01194398  len=8
  0x011943a8  len=8
  0x011943b8  len=8
  0x011943c8  len=8
  0x011943d8  len=8
  0x01194418  len=8
  0x01194428  len=8
  0x01194478  len=8
  0x01194938  len=8
  0x01194958  len=8
  0x01194968  len=8
  0x01194988  len=8
  0x01194998  len=8
  0x011949b8  len=8
  0x011949c8  len=8
  0x011949e8  len=8
  0x011949f8  len=8
  0x01194a18  len=8
  0x01194a28  len=8
  0x01194a48  len=8
  0x01194a58  len=8
  0x01194a78  len=8
  0x01194a88  len=8
  0x01194ad8  len=8
  0x01194ae8  len=8
  0x01194b08  len=8
  0x01194b18  len=8
  0x01194b38  len=8
  0x01194b48  len=8
  0x01194b88  len=8
  0x011953c8  len=8
  0x01195410  len=8
  0x01195428  len=8
  0x01195440  len=8
  0x01195458  len=8
  0x01195470  len=8
  0x01195488  len=8
  0x011954a0  len=8
  0x011954b8  len=8
  0x011954d0  len=8
  0x011954e8  len=8
  0x01195500  len=8
  0x01195518  len=8
  0x01195530  len=8
  0x01195548  len=8
  0x01195560  len=8
  0x01195578  len=8
  0x01195590  len=8
  0x011955a8  len=8
  0x011955f0  len=8
  0x01195608  len=8
  0x01195620  len=8
  0x01195638  len=8
  0x01195650  len=8
  0x01195668  len=8
  0x01195680  len=8
  0x011956b0  len=8
  0x011956c8  len=8
  0x011956e0  len=8
  0x011956f8  len=8
  0x01195710  len=8
  0x01195728  len=8
  0x01195740  len=8
  0x01195758  len=8
  0x01195770  len=8
  0x01195788  len=8
  0x011957a0  len=8
  0x011957b8  len=8
  0x011957d0  len=8
  0x011957e8  len=8
  0x01195800  len=8
  0x01195818  len=8
  0x01195830  len=8
  0x01195860  len=8
  0x01195878  len=8
  0x01195890  len=8
  0x011958a8  len=8
  0x011958c0  len=8
  0x011958d8  len=8
  0x011958f0  len=8
  0x01195908  len=8
  0x01195920  len=8
  0x01195938  len=8
  0x01195950  len=8
  0x01195968  len=8
  0x01195980  len=8
  0x01195a18  len=8
  0x01195a80  len=8
  0x01195ab0  len=8
  0x01195ae0  len=8
  0x01195b10  len=8
  0x01195b40  len=8
  0x01195d38  len=8
  0x0119a2c0  len=8
  0x0119a5a0  len=8
  0x0119a5d8  len=8
  0x0119a5f8  len=8
  0x0119a630  len=8
  0x0119a820  len=8
  0x0119a830  len=8
  0x0119a898  len=8
  0x0119a8c8  len=8
  0x0119aae8  len=8
  0x0119ae90  len=8
  0x0119aeb0  len=8
  0x0119aec0  len=8
  0x0119aee0  len=8
  0x0119aef0  len=8
  0x0119af70  len=8
  0x0119af80  len=8
  0x0119afa0  len=8
  0x0119afb0  len=8
  0x0119afd0  len=8
  0x0119afe0  len=8
  0x0119b000  len=8
  0x0119b010  len=8
  0x0119b030  len=8
  0x0119b040  len=8
  0x0119b060  len=8
  0x0119b070  len=8
  0x0119b090  len=8
  0x0119b0a0  len=8
  0x0119b0c0  len=8
  0x0119b0d0  len=8
  0x0119b0f0  len=8
  0x0119b100  len=8
  0x0119b120  len=8
  0x0119b130  len=8
  0x0119b150  len=8
  0x0119b160  len=8
  0x0119b180  len=8
  0x0119b190  len=8
  0x0119b1b0  len=8
  0x0119b1c0  len=8
  0x0119b1e0  len=8
  0x0119b1f0  len=8
  0x0119b210  len=8
  0x0119b220  len=8
  0x0119b240  len=8
  0x0119b250  len=8
  0x0119b270  len=8
  0x0119b280  len=8
  0x0119b2a0  len=8
  0x0119b2b0  len=8
  0x0119b300  len=8
  0x0119b310  len=8
  0x0119b330  len=8
  0x0119b340  len=8
  0x0119b360  len=8
  0x0119b370  len=8
  0x0119b390  len=8
  0x0119b3a0  len=8
  0x0119b3d0  len=8
  0x0119b3f0  len=8
  0x0119b400  len=8
  0x0119b420  len=8
  0x0119b430  len=8
  0x0119b450  len=8
  0x0119b460  len=8
  0x0119b480  len=8
  0x0119b490  len=8
  0x0119b4b0  len=8
  0x0119b4c0  len=8
  0x0119b4e0  len=8
  0x0119b4f0  len=8
  0x0119b510  len=8
  0x0119b520  len=8
  0x0119b540  len=8
  0x0119b550  len=8
  0x0119b570  len=8
  0x0119b580  len=8
  0x0119b5a0  len=8
  0x0119b5b0  len=8
  0x0119b5d0  len=8
  0x0119b5e0  len=8
  0x0119b600  len=8
  0x0119b610  len=8
  0x0119b630  len=8
  0x0119b640  len=8
  0x0119b690  len=8
  0x0119b6a0  len=8
  0x0119b6c0  len=8
  0x0119b6d0  len=8
  0x0119b6f0  len=8
  0x0119b700  len=8
  0x0119b720  len=8
  0x0119b730  len=8
  0x0119b750  len=8
  0x0119b760  len=8
  0x0119b780  len=8
  0x0119b790  len=8
  0x0119b7b0  len=8
  0x0119b7c0  len=8
  0x0119b7e0  len=8
  0x0119b7f0  len=8
  0x0119b810  len=8
  0x0119b820  len=8
  0x0119b840  len=8
  0x0119b850  len=8
  0x0119b870  len=8
  0x0119b880  len=8
  0x0119b8a0  len=8
  0x0119b8b0  len=8
  0x0119b8d0  len=8
  0x0119b8e0  len=8
  0x0119b900  len=8
  0x0119b910  len=8
  0x0119b930  len=8
  0x0119b940  len=8
  0x0119b960  len=8
  0x0119b970  len=8
  0x0119b9a0  len=8
  0x0119b9c0  len=8
  0x0119b9d0  len=8
  0x0119b9f0  len=8
  0x0119ba00  len=8
  0x0119ba20  len=8
  0x0119ba30  len=8
  0x0119ba50  len=8
  0x0119ba60  len=8
  0x0119ba90  len=8
  0x0119bab0  len=8
  0x0119bac0  len=8
  0x0119bae0  len=8
  0x0119baf0  len=8
  0x0119bb10  len=8
  0x0119bb20  len=8
  0x0119bb40  len=8
  0x0119bb50  len=8
  0x0119bb70  len=8
  0x0119bb80  len=8
  0x0119bba0  len=8
  0x0119bbb0  len=8
  0x0119bbd0  len=8
  0x0119bc00  len=8
  0x0119bc10  len=8
  0x0119bc30  len=8
  0x0119bc40  len=8
  0x0119bc60  len=8
  0x0119bc70  len=8
  0x0119bc90  len=8
  0x0119bca0  len=8
